
FILE : Dir/lorem1s (another copy).txt    // WORD : has 
1.  2  195
2.  4  415
3.  8  162
4.  10  599
5.  20  89
6.  20  367
7.  20  629
8.  24  477
9.  38  1
10.  42  294
11.  42  342
12.  44  154
13.  46  352
14.  58  531
15.  58  596
16.  60  299
17.  68  479
18.  68  578
19.  70  289
20.  70  339
21.  76  135
22.  78  311
23.  82  1
24.  82  511
25.  82  540
26.  88  91
27.  98  297
28.  100  145
29.  108  645
30.  112  270
31.  112  466
32.  114  334
33.  118  100
34.  130  110
35.  134  266
36.  138  581
37.  142  429
38.  144  347
39.  144  426
40.  146  513
41.  150  17
42.  150  67
43.  150  615
44.  150  669
45.  156  140
46.  158  83
47.  158  119
48.  162  165
49.  164  154
50.  172  116
51.  188  300
52.  190  134
53.  192  219
54.  202  388
55.  204  167
56.  220  40
57.  222  1
58.  230  415
59.  234  503
60.  236  231
61.  242  323
62.  250  135
63.  252  427
64.  260  1
65.  264  247
66.  270  17
67.  274  353
68.  278  589
69.  280  364
70.  282  180

FILE : Dir/lorem1s.txt    // WORD : has 
1.  2  195
2.  4  415
3.  8  162
4.  10  599
5.  20  89
6.  20  367
7.  20  629
8.  24  477
9.  38  1
10.  42  294
11.  42  342
12.  44  154
13.  46  352
14.  58  531
15.  58  596
16.  60  299
17.  68  479
18.  68  578
19.  70  289
20.  70  339
21.  76  135
22.  78  311
23.  82  1
24.  82  511
25.  82  540
26.  88  91
27.  98  297
28.  100  145
29.  108  645
30.  112  270
31.  112  466
32.  114  334
33.  118  100
34.  130  110
35.  134  266
36.  138  581
37.  142  429
38.  144  347
39.  144  426
40.  146  513
41.  150  17
42.  150  67
43.  150  615
44.  150  669
45.  156  140
46.  158  83
47.  158  119
48.  162  165
49.  164  154
50.  172  116
51.  188  300
52.  190  134
53.  192  219
54.  202  388
55.  204  167
56.  220  40
57.  222  1
58.  230  415
59.  234  503
60.  236  231
61.  242  323
62.  250  135
63.  252  427
64.  260  1
65.  264  247
66.  270  17
67.  274  353
68.  278  589
69.  280  364
70.  282  180
------------------------------------------
Found 140 times Dir is has dir.
