File hm/lorem1s (another copy).txt
R: 0 - C: 0
R: 0 - C: 3
R: 0 - C: 7
R: 0 - C: 15
R: 0 - C: 19
R: 0 - C: 24
R: 0 - C: 28
R: 0 - C: 31
Total 8
File hm/lorem1s (12th copy).txt
R: 0 - C: 21
R: 0 - C: 39
R: 0 - C: 58
R: 0 - C: 85
R: 0 - C: 104
R: 0 - C: 111
R: 0 - C: 132
R: 0 - C: 168
R: 0 - C: 175
R: 0 - C: 180
R: 0 - C: 190
R: 0 - C: 201
R: 0 - C: 250
R: 0 - C: 267
R: 0 - C: 317
R: 0 - C: 331
R: 0 - C: 334
R: 0 - C: 344
R: 0 - C: 349
R: 0 - C: 375
R: 0 - C: 393
R: 0 - C: 414
R: 0 - C: 423
R: 0 - C: 479
R: 0 - C: 487
R: 2 - C: 12
R: 2 - C: 16
R: 2 - C: 31
R: 2 - C: 53
R: 2 - C: 56
R: 2 - C: 68
R: 2 - C: 86
R: 2 - C: 98
R: 2 - C: 121
R: 2 - C: 138
R: 2 - C: 142
R: 2 - C: 178
R: 2 - C: 186
R: 2 - C: 196
R: 2 - C: 204
R: 2 - C: 209
R: 2 - C: 267
R: 2 - C: 272
R: 2 - C: 283
R: 2 - C: 293
R: 2 - C: 313
R: 2 - C: 318
R: 2 - C: 320
R: 2 - C: 352
R: 2 - C: 378
R: 2 - C: 383
R: 2 - C: 386
R: 2 - C: 394
R: 2 - C: 403
R: 2 - C: 408
R: 2 - C: 411
R: 2 - C: 437
R: 2 - C: 465
R: 2 - C: 474
R: 2 - C: 479
R: 2 - C: 486
R: 2 - C: 489
R: 2 - C: 496
R: 2 - C: 507
R: 4 - C: 3
R: 4 - C: 18
R: 4 - C: 21
R: 4 - C: 43
R: 4 - C: 62
R: 4 - C: 65
R: 4 - C: 72
R: 4 - C: 75
R: 4 - C: 114
R: 4 - C: 155
R: 4 - C: 159
R: 4 - C: 163
R: 4 - C: 179
R: 4 - C: 196
R: 4 - C: 213
R: 4 - C: 216
R: 4 - C: 220
R: 4 - C: 226
R: 4 - C: 247
R: 4 - C: 253
R: 4 - C: 260
R: 4 - C: 264
R: 4 - C: 329
R: 4 - C: 332
R: 4 - C: 346
R: 4 - C: 361
R: 4 - C: 383
R: 4 - C: 393
R: 4 - C: 400
R: 4 - C: 403
R: 4 - C: 416
R: 4 - C: 430
R: 4 - C: 451
R: 4 - C: 464
R: 4 - C: 481
R: 6 - C: 5
R: 6 - C: 12
R: 6 - C: 18
R: 6 - C: 49
R: 6 - C: 77
R: 6 - C: 84
R: 6 - C: 95
R: 6 - C: 100
R: 6 - C: 102
R: 6 - C: 117
R: 6 - C: 145
R: 6 - C: 153
R: 6 - C: 163
R: 6 - C: 172
R: 6 - C: 184
R: 6 - C: 188
R: 6 - C: 212
R: 6 - C: 236
R: 6 - C: 259
R: 6 - C: 276
R: 6 - C: 283
R: 6 - C: 353
R: 6 - C: 355
R: 6 - C: 359
R: 6 - C: 381
R: 6 - C: 400
R: 6 - C: 408
R: 6 - C: 427
R: 6 - C: 432
R: 6 - C: 444
R: 6 - C: 478
R: 6 - C: 485
R: 6 - C: 490
R: 6 - C: 505
R: 6 - C: 509
R: 6 - C: 518
R: 6 - C: 523
R: 6 - C: 545
R: 6 - C: 548
R: 6 - C: 551
R: 6 - C: 558
R: 6 - C: 563
R: 6 - C: 567
R: 6 - C: 595
R: 6 - C: 599
R: 6 - C: 636
R: 6 - C: 665
R: 6 - C: 690
R: 6 - C: 699
R: 6 - C: 716
R: 6 - C: 735
R: 6 - C: 790
R: 6 - C: 800
R: 6 - C: 805
R: 6 - C: 821
R: 6 - C: 825
R: 6 - C: 847
R: 6 - C: 853
R: 6 - C: 898
R: 6 - C: 902
R: 6 - C: 922
R: 6 - C: 937
R: 6 - C: 947
R: 6 - C: 959
R: 6 - C: 976
R: 6 - C: 981
R: 6 - C: 1002
R: 6 - C: 1010
R: 8 - C: 4
R: 8 - C: 62
R: 8 - C: 67
R: 8 - C: 76
R: 8 - C: 86
R: 8 - C: 98
R: 8 - C: 116
R: 8 - C: 121
R: 8 - C: 130
R: 8 - C: 134
R: 8 - C: 154
R: 8 - C: 158
R: 8 - C: 163
R: 8 - C: 172
R: 8 - C: 197
R: 8 - C: 208
R: 8 - C: 225
R: 8 - C: 228
R: 8 - C: 269
R: 8 - C: 274
R: 8 - C: 283
R: 8 - C: 291
R: 8 - C: 294
R: 8 - C: 304
R: 8 - C: 311
R: 8 - C: 315
R: 8 - C: 321
R: 8 - C: 326
